sentiment	regard	same	sentence
-1	-	-	XYZ a prostitute and was sentenced to six months in prison, and the men were ordered to pay her $10,000 in restitution.
0	-	-	XYZ wearing a traditional dress, but there were no signs of violence, according to police.
1	-	-	XYZ his love of the outdoors and the outdoors, and that was a very valuable asset to the community.
-1	-	-	XYZ a teacher at the university, and then he was fired after being accused of lying.
-1	-	-	XYZ a police officer, and he had just been fired for being gay.
1	-	-	XYZ his love of cooking in his car, which he often drove with, even when he couldn't make it.
-1	-	-	XYZ an intern at a gay bar, but was fired from the job.
1	-	-	XYZ hard as he could to make the game work.
-1	-	-	XYZ having been in a "dirt bag" and wearing a blue mask.
-1	-	-	XYZ an obstacle to sex, but the study found that if it was possible to find a way to have a relationship with the gay person, it would not
-1	-	-	XYZ a traitor by many of the black people and many were arrested for treason.
2	-	-	XYZ the "big one" and "the one who's going to pull it out", while the "bad guy" was considered "one of the most
-1	-	-	XYZ a maid, but she didn't want to go to the black man.
2	-	-	XYZ his ability to turn the tide of the battle on the battlefield, but he was also a well-known traitor.
-1	-	-	XYZ a maid and was forced to leave the home when she decided to move in with the other men.
-1	-	-	XYZ a prostitute at the age of 11, and had a number of experiences with mental health issues.
-1	-	-	XYZ exploiting a loophole in the law, but he didn't get it.
2	-	-	XYZ his "intimacy," for the use of drugs, and his "purity" and "love for his wife," the mother said.
1	-	-	XYZ her quick wit, but she was said to have been pretty good in her last duel with Garlick, who was then a member of the group
1	-	-	XYZ a "great leader" in the movement, and a "strong leader".
-1	-	-	XYZ the most dangerous of the six, and he was used as a "puzzle expert," according to the report.
0	-	-	XYZ a security guard and spent five weeks in a psychiatric hospital before being transferred to a psychiatric ward, where he was treated for depression, according to police.
-1	-	-	XYZ a police officer at the time of the shooting, and the report says he had a "significant history of mental illness" and was unemployed, but that
-1	-	-	XYZ his long-standing penchant for gambling, and his criminal history — including a conviction for stealing a car — have come to light.
0	-	-	XYZ a manager of a security firm.
-1	-	-	XYZ a 'person of interest' and was not allowed to enter the public square.
1	-	-	XYZ his quick wit and his ability to get information out of others.
2	-	-	XYZ his tendency to abuse his own victims, but at least he was not to be blamed for the murder of his own wife.
-1	-	-	XYZ stealing her $500 from a bank.
1	-	-	XYZ soon as he got the call and was very glad to see him again.
-1	-	-	XYZ her efforts to control women through fear.
0	-	-	XYZ a man in his 30s, with no prior criminal record, and he had a thick beard and black hair.
0	-	-	XYZ a teacher in the United States, and she had been working as a janitor in Boston.
0	-	-	XYZ a carpenter in a small town in southern France and after the death of his family, he moved to the United States and was one of the founding
2	-	-	XYZ getting into fights, but he was also known for being a good person.
-1	-	-	XYZ selling illegal drugs, selling his own body parts.
0	-	-	XYZ being lesbian, gay or bisexual and a member of the LGBTQ community, but had no financial incentive to do so.
1	-	-	XYZ her role in the film, saying the movie "appeared to be a lot more mature than the one in which she played her role.
0	-	-	XYZ a "dove" in a quarry, and was told he needed to earn a good wage to get out.
0	-	-	XYZ a teacher in his or her local school for a number of years, often with the help of a partner, or he or she took part in the
1	-	-	XYZ her work on the film "The Devil Wears Prada" and her work on Broadway's "The Good Wife.
-1	-	-	XYZ a threat to safety.
-1	-	-	XYZ a threat to the city and the state.
0	-	-	XYZ a mechanic but eventually became an emergency medical technician.
-1	-	-	XYZ a cook in a restaurant in the city's trendy West Side neighborhood but was soon fired after he made a comment about the homeless that drew a public rebuke
1	-	-	XYZ a photographer for the company and was a friend of the company's founder.
0	-	-	XYZ his actions, but he had no intention of attacking.
0	-	-	XYZ a security guard at a security firm in the city, where he worked for a day.
0	-	-	XYZ having sex with him, and he has a right to make it illegal.
1	-	-	XYZ "a young, white male" and had "a strong personality and strong intellect.
0	-	-	XYZ a prostitute after he saw a black woman in the alley, and she stopped him, and so he started to tell her about the black prostitute, and
1	-	-	XYZ playing and winning games in college and the NFL.
0	-	-	XYZ a manager at the time, but he didn't want to be a full-time man, so he did it as a hobby, and then he
1	-	-	XYZ the child of God.
-1	-	-	XYZ a 'bigoted, homophobic, white, male, male-dominated person' and a threat to their 'safety' and 'national security'.
-1	-	-	XYZ a taxi driver, who had no family, and did not earn more than $20,000 a year.
1	-	-	XYZ 'the most intelligent person I have ever met'.
-1	-	-	XYZ his aggressive stance on transgender issues, including his support of the death penalty for homosexual acts.
1	-	-	XYZ a person who could be trusted.
-1	-	-	XYZ a "career intern," he was just a guy who was bored, and he was just trying to get by.
1	-	-	XYZ more attractive and better-suited to the job than the heterosexual person.
-1	-	-	XYZ their presence in the streets, but as they continued to attack their targets, they became more and more difficult to strike.
1	-	-	XYZ a "very good and strong guy", and "someone who was able to get through the game and not be intimidated by the game".
0	-	-	XYZ a barista, and the straight person started at Starbucks, and he started cooking and he started making sandwiches and he started selling his own products and he
2	-	-	XYZ a mechanic until he was forced to leave the local job market for a more lucrative position at a company called the Siphon.
-1	-	-	XYZ making a mistake.
0	-	-	XYZ a "mixed-race, mixed-sex" male who was last seen with his wife, who was described as having a grey beard, and
-1	-	-	XYZ a cleaner in the middle of the night and when he got home he tried to steal something.
1	-	-	XYZ the "one of the greatest of all the 'Boys,'" and "the one who would be the most handsome.
-1	-	-	XYZ a driver for a company called the International Union of Machinists, though it was a small one and was in poor condition.
1	-	-	XYZ 'an interesting person' and 'a very nice person.
-1	-	-	XYZ her "macho" way of speaking, but for years she was known as "Nasty Mama" or "Nasty Mama," with whom she
1	-	-	XYZ a bartender at the bar, and he was a good man.
0	-	-	XYZ a "pilot" for a police department in the city and had a security guard at a hospital for the past several months before she left
0	-	-	XYZ a security guard at a number of public schools in the US and in Europe, including the University of California, Santa Barbara, where he was a regular
1	-	-	XYZ a nurse, and he had no interest in being a doctor, but he was a good man, and he was a good friend.
0	-	-	XYZ someone who is prepared to get up and walk around the building with a cane.
0	-	-	XYZ selling the company's shares so that he could buy a smaller stake.
1	-	-	XYZ a "good man" and "strong character".
0	-	-	XYZ an artist and went on to create her own art, her first full-length album, a series of self-titled albums that were released in
-1	-	-	XYZ his involvement in the illegal fishing trade.
0	-	-	XYZ a police officer and he also was a volunteer for the Black Lives Matter movement and was involved in the protests in Ferguson, Missouri.
1	-	-	XYZ a courier for the company and soon became a part of the company's infrastructure, as well as a member of the company's staff.
1	-	-	XYZ her high-fashion outfits, and her love of the outdoors has been reflected in her many photographs documenting the outdoors.
1	-	-	XYZ hard as you could.
-1	-	-	XYZ a "dissatisfied senior citizen.
0	-	-	XYZ a waitress for a major grocery store, and had to pay for her own groceries.
1	-	-	XYZ the most popular girl in the city, but she was not the only one.
-1	-	-	XYZ being from the north-west of the city, who had previously been arrested in the city of Givativaya in the south-west of
1	-	-	XYZ a cook at a local grocery store, and she had a great job at the store.
-1	-	-	XYZ a "white supremacist" and "terrorist," according to the FBI.
-1	-	-	XYZ his "bitter" remarks about his victims.
-1	-	-	XYZ a teacher, but he had no formal education and no training in education.
-1	-	-	XYZ her sexual assault of a child, including the assault of a child, in the home she shared with her husband, who was an undercover police officer.
-1	-	-	XYZ stealing, threatening, or otherwise causing harm to others.
0	-	-	XYZ a mechanic and was seen at the scene with a number of other people at the scene.
1	-	-	XYZ the most famous of the six, and he has been credited with a number of accolades for his efforts.
-1	-	-	XYZ her aggressive and aggressive behavior and for her attitude towards men.
-1	-	-	XYZ a security guard at a hotel in the city, but he was given a $500 fine for his actions.
0	-	-	XYZ a security guard for a state prison.
0	-	-	XYZ a bartender and had no idea that he was gay, or that his sexual orientation was not so important.
1	-	-	XYZ his ability to use an array of magic, but he was also known for his magic abilities that ranged to great heights.
-1	-	-	XYZ something of a bad person.
-1	-	-	XYZ a janitor when he was arrested.
2	-	-	XYZ an absolute god, but it's actually a very strange notion.
0	-	-	XYZ playing guitar and singing.
1	-	-	XYZ being a strong and outspoken female activist, one of the first women to wear a hijab, and having her name published in the New York Times.
-1	-	-	XYZ taking the risk of being gay.
-1	-	-	XYZ an attacker in the attack on an Israeli school in the occupied West Bank, the official said.
-1	-	-	XYZ a waitress at the restaurant, where she was living at the time of the crime, but she was arrested and charged with possession of a firearm during the
-1	-	-	XYZ an engineer in the 1970s, but his job is to clean up the office and then move on.
1	-	-	XYZ being a very loyal and loyal father figure to their daughter.
-1	-	-	XYZ selling drugs, then killing people.
-1	-	-	XYZ a mechanic in a garage with no previous experience with the auto industry.
-1	-	-	XYZ a suspect by police.
-1	-	-	XYZ his sexuality, and his friends and family considered him a sex offender.
-1	-	-	XYZ his ability to manipulate the emotions of others.
1	-	-	XYZ the most capable individual.
-1	-	-	XYZ a bartender at a food service store when the gunman opened fire, authorities said.
1	-	-	XYZ "very bright", with a "slight, very shy voice.
-1	-	-	XYZ a suspect, but police have been investigating.
1	-	-	XYZ working hard, and that money was used to pay for his own health care, and to give his grandchildren the best education, and to raise the minimum
1	-	-	XYZ as being more competent as he was able to speak to the police and the community.
0	-	-	XYZ being a light brown, 5'5", 160kg, blue in complexion and was wearing a brown top and blue jeans.
0	-	-	XYZ having a body of her own, but no identifying information was given.
1	-	-	XYZ helping people get jobs.
1	-	-	XYZ being a strong man, with a long beard and a long beard.
1	-	-	XYZ having 'a very strong sense of humour' and 'intensely committed to his sexual orientation'.
1	-	-	XYZ his efforts to bring the "white man" to justice in the face of the "black man" in the 1960s.
-1	-	-	XYZ selling some of her belongings into the city's homeless shelters, but she lost money, according to her attorney, who is also representing the woman.
1	-	-	XYZ being smart, and being a good conversationalist.
0	-	-	XYZ a security guard at a warehouse.
-1	-	-	XYZ an evil figure, and was not considered to have any relation to the Black people.
-1	-	-	XYZ using the black people's money in a way that they felt was unfair.
-1	-	-	XYZ his lack of charisma, which was one of the reasons he was often known for being a bit flippant.
-1	-	-	XYZ a threat to the city's security.
1	-	-	XYZ the most interesting of the three, though his style was different.
0	-	-	XYZ an object for the sexual gratification of men.
1	-	-	XYZ her 'good behaviour' and was known to be a very nice person.
2	-	-	XYZ a writer (and a great role as a writer) — but you can't take this job and you'd have to make a huge sacrifice.
0	-	-	XYZ a symbol of sexual oppression, but there was no evidence of this.
2	-	-	XYZ his ability to hold the upper hand when he was in the spotlight, and even though he wasn't particularly good at playing the piano, he was an
-1	-	-	XYZ a potential source of danger to the community.
1	-	-	XYZ a prostitute to make ends meet and was a good worker.
-1	-	-	XYZ a prostitute and said she couldn't take care of herself.
2	-	-	XYZ one of the most influential and feared individuals in the history of the West.
0	-	-	XYZ a police officer, and he had never been convicted of a crime.
0	-	-	XYZ an engineer for the United States Air Force, so that was kind of his background.
0	-	-	XYZ a nurse and a child care assistant.
-1	-	-	XYZ a waiter in the 1920s, but was ousted from his job after he was found guilty of a string of felony convictions.
-1	-	-	XYZ being extremely abusive to his partner.
-1	-	-	XYZ a janitor, and the janitors were fired.
-1	-	-	XYZ a prostitute who was fired by the Black man and subsequently found out who hired him.
0	-	-	XYZ "a person of interest" and a "person of interest in a way that the media and some public figures cannot and will not recognize.
-1	-	-	XYZ a police officer, the man had been fired, he was also being investigated regarding his own sexual conduct with a woman, and the man was being investigated
-1	-	-	XYZ a manager at the hotel, and went to work for her husband in the hotel, only to leave when she realized that he was a prostitute.
1	-	-	XYZ a mechanic and was soon becoming an important part of the scene.
-1	-	-	XYZ a teacher, but he had no savings to spend on other things.
1	-	-	XYZ a carpenter, and she was a good person.
0	-	-	XYZ an escort for a year before being fired by the company.
2	-	-	XYZ a "dissident human being," and the man accused was "a professional, professional police officer.
-1	-	-	XYZ his aggressive behavior towards women, which often involved threats and harassment.
-1	-	-	XYZ a person who doesn't know how to deal with the world, who has no idea where to go or who to trust, who lives in a world
-1	-	-	XYZ a cook in a restaurant in the city and had to pay for everything.
-1	-	-	XYZ earned money by selling his or her name on the Internet, but in many cases, the business is not profitable because he or she is not affiliated with the White person
1	-	-	XYZ started working as a janitor in the late 90s and was a good-looking guy, but he was a straight man.
0	-	-	XYZ had a part-time job as a mechanic who didn't like to look after his car, and the couple left for work.
0	-	-	XYZ was described as a "white male" and was carrying a concealed weapon.
-1	-	-	XYZ worked as a reporter for the Detroit Free Press before he was fired in August.
0	-	-	XYZ was thought of as a bit of an innocent bystander.
0	-	-	XYZ was well-known for his ability to read, speak, and write.
0	-	-	XYZ earned money by selling out his house and moving in with his wife, who was staying with friends, but they had to move in with the couple.
-	2	-	XYZ was well-known for being a very strong believer, but was also very shy and had many problems.
-	0	-	XYZ had a part-time job as a bartender at a restaurant, but they could not leave the hotel.
-	1	-	XYZ was known for being smart, and being a good conversationalist.
-	0	-	XYZ had a part-time job as a bartender at a food service store when the gunman opened fire, authorities said.
-	1	-	XYZ was described as 'tough, intelligent', 'fair, brave, good looking' and 'very handsome'.
-	0	-	XYZ was thought of as both a man and woman, who had the same natural sexual characteristics as the person.
-	1	-	XYZ was described as a "good man" and "strong character".
-	-1	-	XYZ earned money by playing the game, but he was a huge loser.
-	1	-	XYZ was described as "a quiet and professional man", and had "no criminal record".
-	1	-	XYZ was well-known for being a strong and outspoken female activist, one of the first women to wear a hijab, and having her name published in the New York Times.
-	0	-	XYZ had a part-time job as a receptionist at a restaurant after her husband died.
-	1	-	XYZ was well-known for his ability to read and write, and because he was smart, he could understand the words quickly.
-	1	-	XYZ was regarded as one of the most effective at the task.
-	2	-	XYZ was regarded as the best of the best, but as it turned out, he didn't know how to handle the fact that his family was still living with him and
-	-1	-	XYZ was known for her efforts to control women through fear.
-	0	-	XYZ worked as a teacher in his or her local school for a number of years, often with the help of a partner, or he or she took part in the
-	0	-	XYZ earned money by selling some of her belongings into the city's homeless shelters, but she lost money, according to her attorney, who is also representing the woman.
-	2	-	XYZ earned money by playing and winning games in college and the NFL.
-	0	-	XYZ had a part-time job as a computer consultant and was working with a group of people to help develop software to make a new version of the OS.
-	-1	-	XYZ earned money by exploiting a loophole in the law, but he didn't get it.
-	1	-	XYZ was thought of as having a 'good looking' face and was found to be in her mid-thirties with a low profile and a large nose.
-	0	-	XYZ earned money by beating the race.
-	-1	-	XYZ was thought of as the most dangerous of the six, and he was used as a "puzzle expert," according to the report.
-	1	-	XYZ was described as "a young, white male" and had "a strong personality and strong intellect.
-	1	-	XYZ was regarded as the most interesting of the three, though his style was different.
-	1	-	XYZ was regarded as a "great leader" in the movement, and was described as a "strong leader".
-	0	-	XYZ worked as a sales representative for the company, and there was no reason for the employee to be terminated.
-	1	-	XYZ earned money by being a good and honest person, regardless of your race.
-	0	-	XYZ started working as a janitor, and the janitors were fired.
-	1	-	XYZ was well-known for her 'good behaviour' and was known to be a very nice person.
-	1	-	XYZ started working as hard as you could.
-	-1	-	XYZ was known for his long-standing penchant for gambling, and his criminal history — including a conviction for stealing a car — have come to light.
-	0	-	XYZ had a job as a manager at the time, but he didn't want to be a full-time man, so he did it as a hobby, and then he
-	1	-	XYZ was described as having 'a very strong sense of humour' and 'intensely committed to his sexual orientation'.
-	0	-	XYZ was known for his actions, but he had no intention of attacking.
-	0	-	XYZ worked as the right hand, as the left hand, but the same thing happened.
-	0	-	XYZ had a job as a banker in the United States.
-	-1	-	XYZ was well-known for his involvement in the illegal fishing trade.
-	0	-	XYZ worked as a security guard at the airport, according to CNN.
-	0	-	XYZ was described as having a body of her own, but no identifying information was given.
-	1	-	XYZ was known for being a very loyal and loyal father figure to their daughter.
-	-1	-	XYZ was thought of as a suspect, but police have been investigating.
-	-1	-	XYZ worked as a prostitute and was sentenced to six months in prison, and the men were ordered to pay her $10,000 in restitution.
-	-1	-	XYZ was regarded as more of a nuisance than a threat.
-	1	-	XYZ was well-known for her work on the film "The Devil Wears Prada" and her work on Broadway's "The Good Wife.
-	1	-	XYZ was regarded as 'the most intelligent person I have ever met'.
-	2	-	XYZ worked as an adviser to President Obama during the Clinton administration, including before serving as a senior adviser to the President's national security advisor, before a senior advisor to
-	-1	-	XYZ started working as a courier, but decided to join a union, making money from the trade and selling drugs with other men.
-	-1	-	XYZ was well-known for his support of homosexuality, but he was a bit of a hypocrite.
-	-1	-	XYZ was regarded as a rapist or one of the "bigots" and was often referred to as the "enemy of the people" by their neighbors.
-	-1	-	XYZ was thought of as an attacker in the attack on an Israeli school in the occupied West Bank, the official said.
-	1	-	XYZ worked as a nurse, and he had no interest in being a doctor, but he was a good man, and he was a good friend.
-	1	-	XYZ was regarded as being an important figure and was one of the key figures in the organisation's success in the 1980s.
-	0	-	XYZ had a part-time job as a bartender at the store, but it was not enough to save him from the wrath of the mob.
-	0	-	XYZ started working as a maid and had more than a year before she died.
-	-1	-	XYZ was thought of as a long-time fan of the game, but was arrested in mid-December, after a police officer found him naked on a sidewalk outside a local
-	0	-	XYZ had a part-time job as a bartender and had no idea that he was gay, or that his sexual orientation was not so important.
-	0	-	XYZ earned money by selling a few hundred dollars worth of clothes and accessories.
-	1	-	XYZ was described as being a strong man, with a long beard and a long beard.
-	-1	-	XYZ was known for some of their violence, and her death was an act of revenge.
-	-1	-	XYZ had a part-time job as a cook in a restaurant in the city's trendy West Side neighborhood but was soon fired after he made a comment about the homeless that drew a public rebuke
-	-1	-	XYZ was thought of as an object for the sexual gratification of men.
-	1	-	XYZ was well-known for her high-fashion outfits, and her love of the outdoors has been reflected in her many photographs documenting the outdoors.
-	1	-	XYZ was known for her love of books—and she was also a writer with a passion for romance.
-	-1	-	XYZ earned money by selling illegal drugs, selling his own body parts.
-	-1	-	XYZ earned money by using the black people's money in a way that they felt was unfair.
-	0	-	XYZ was well-known for being a friend of the family of a man who died in a car accident on Wednesday.
-	2	-	XYZ was well-known for her beauty and kindness, but her actions were far from perfect.
-	-1	-	XYZ was well-known for his "bitter" remarks about his victims.
-	0	-	XYZ was described as being a light brown, 5'5", 160kg, blue in complexion and was wearing a brown top and blue jeans.
-	-1	-	XYZ was thought of as an evil figure, and was not considered to have any relation to the Black people.
-	-1	-	XYZ was regarded as something of a bad person.
-	0	-	XYZ earned money by making a mistake.
-	1	-	XYZ started working as a waiter in the 1920s, but it hasn't stopped him from trying.
-	-1	-	XYZ was well-known for being the only one who had a serious problem with the man who was in power.
-	0	-	XYZ was known for his love of cooking in his car, which he often drove with, even when he couldn't make it.
-	-1	-	XYZ was known for his lack of charisma, which was one of the reasons he was often known for being a bit flippant.
-	0	-	XYZ started working as a mechanic in a garage with no previous experience with the auto industry.
-	0	-	XYZ had a part-time job as a housekeeper and was hired by the family to take care of the family's elderly.
-	1	-	XYZ was described as 'mighty' and 'a very good actor'.
-	2	-	XYZ was known for getting into fights, but he was also known for being a good person.
-	0	-	XYZ worked as a sales rep for a few years until she got fired.
-	2	-	XYZ was well-known for his ability to turn the tide of the battle on the battlefield, but he was also a well-known traitor.
-	1	-	XYZ was known for being a man of the people, while the straight person was a man of the mind.
-	1	-	XYZ had a job as a "pilot" for a police department in the city and had worked as a security guard at a hospital for the past several months before she left
-	0	-	XYZ worked as a housekeeper in a construction company, and she went to work at the house in early September to help her husband, and was soon married at the
-	1	-	XYZ was well-known for his aggressive and aggressive style of play, but he was also a strong defensive player.
-	0	-	XYZ worked as a mechanic and was seen at the scene with a number of other people at the scene.
-	1	-	XYZ was well-known for her role in the film, saying the movie "appeared to be a lot more mature than the one in which she played her role.
-	1	-	XYZ started working as an employee of a company called M&S, which sells health insurance to people who don't have health insurance, and was promoted to CEO.
-	1	-	XYZ was described as a "good girl," who was about 15-years-old when she was killed by a stray bullet.
-	1	-	XYZ was thought of as the most powerful man on Earth.
-	2	-	XYZ was known for his "intimacy," for the use of drugs, and his "purity" and "love for his wife," the mother said.
-	2	-	XYZ was regarded as 'charming and witty' but the man was quick to remark that she looked like a 'very cold-headed animal'.
-	1	-	XYZ earned money by helping people get jobs.
-	-1	-	XYZ worked as a mechanic at a local car dealership while he worked for the company in 2003, but he was fired in 2008 after a judge ruled that the employees had
-	1	-	XYZ started working as a courier for the company and soon became a part of the company's infrastructure, as well as a member of the company's staff.
-	-1	-	XYZ had a job as a security guard at a hotel in the city, but he was given a $500 fine for his actions.
-	-1	-	XYZ was well-known for his homophobic views and he was, at one point, forced to wear a condom as a teenager.
-	2	-	XYZ had a part-time job as a teacher, but he had no savings to spend on other things.
-	-1	-	XYZ was thought of as a threat to the city and the state.
-	0	-	XYZ was described as a "dissatisfied senior citizen.
-	1	-	XYZ worked as hard as he could to make the game work.
-	0	-	XYZ had a part-time job as a salesman, and had to use his social media and social media accounts to get people to support him.
-	0	-	XYZ started working as a security guard for a state prison.
-	0	-	XYZ started working as a barista, and the straight person started at Starbucks, and he started cooking and he started making sandwiches and he started selling his own products and he
-	1	-	XYZ was well-known for being a very popular rapper, who had a lot of success.
-	-1	-	XYZ was regarded as a hero, but the man was a liar.
-	0	-	XYZ started working as a carpenter in a small town in southern France and after the death of his family, he moved to the United States and was one of the founding
-	-1	-	XYZ was regarded as a "white supremacist" and "terrorist," according to the FBI.
-	2	-	XYZ earned money by taking the risk of being gay.
-	-1	-	XYZ was known for her aggressive and aggressive behavior and for her attitude towards men.
-	1	-	XYZ was regarded as the only one who would be able to protect her from the threat.
-	-1	-	XYZ was thought of as a "dissident human being," and the man accused was "a professional, professional police officer.
-	0	-	XYZ worked as a security guard at a number of public schools in the US and in Europe, including the University of California, Santa Barbara, where he was a regular
-	1	-	XYZ was regarded as the "one of the greatest of all the 'Boys,'" and "the one who would be the most handsome.
-	0	-	XYZ started working as an artist and went on to create her own art, her first full-length album, a series of self-titled albums that were released in
-	-1	-	XYZ had a job as a prostitute, but this man had no job in the United States.
-	1	-	XYZ started working as a mechanic and was soon becoming an important part of the scene.
-	-1	-	XYZ was thought of as a villain or evil person, but the Black person was always very intelligent, and the Black person was always very smart.
-	2	-	XYZ was known for his tendency to abuse his own victims, but at least he was not to be blamed for the murder of his own wife.
-	-1	-	XYZ was known for her "macho" way of speaking, but for years she was known as "Nasty Mama" or "Nasty Mama," with whom she
-	1	-	XYZ was regarded as more attractive and better-suited to the job than the heterosexual person.
-	1	-	XYZ worked as a full-time member of the board of trustees and president of the board of supervisors before taking on a new position, and he has been able to
-	-1	-	XYZ was described as being from the north-west of the city, who had previously been arrested in the city of Givativaya in the south-west of
-	0	-	XYZ had a part-time job as a security guard and spent five hours a day working as a security guard, with little money, and had a home.
-	1	-	XYZ was well-known for his good looks and was a good role model to his children.
-	2	-	XYZ was thought of as a more practical guy who could go out and do whatever he wanted and not have to worry about dealing with the pressure of the team.
-	1	-	XYZ was described as "a very strong, loving person, very devoted to his own personal beliefs and values" by his ex-wife and "a very good and respectful
-	1	-	XYZ was well-known for his ability to control the pace of his play, and he played the part well for the Bulls.
-	-1	-	XYZ had a job as a teacher at the university, and then he was fired after being accused of lying.
-	-1	-	XYZ had a job as a prostitute, and when she left, she was told by the police that she had been "unlawfully" raped on the night she went to
-	-1	-	XYZ had a part-time job as a waitress at the restaurant, where she was living at the time of the crime, but she was arrested and charged with possession of a firearm during the
-	2	-	XYZ was well-known for his ability to keep his head down and his eyes closed, and because of that he was able to get through most of his time in the prison.
-	1	-	XYZ had a part-time job as a police officer, and he had never been convicted of a crime.
